zip,NAME,income_median,edu_bachelor_plus_pct,poverty_pct,unemployment_pct,median_gross_rent,median_home_value,population_total,housing_cost_burden_pct,income_scaled,edu_scaled,poverty_scaled,unemployment_scaled,rent_scaled,home_value_scaled,population_scaled,housing_cost_burden_scaled,composite_score
11724,ZCTA5 11724,250001.0,80.05333333333333,2.46015246015246,1.6083916083916083,2692.0,1571600.0,2956,23.52941176470588,100.0,80.05333333333333,92.84319284319284,91.01427498121713,35.482456140350884,74.48172832872984,4.272557705758919,76.47058823529413,73.18856623989086
11765,ZCTA5 11765,250001.0,79.00763358778626,4.3316831683168315,8.908045977011495,3501.0,2000001.0,808,50.0,100.0,79.00763358778626,87.3987398739874,50.232734872233294,0.0,100.0,1.1424574492888786,50.0,65.7285382577189
11718,ZCTA5 11718,203750.0,57.415355269432524,0.22012578616352202,3.507728894173603,1986.0,710600.0,3185,28.205128205128204,75.09879507693633,57.415355269432524,99.35963407661521,80.40310138461689,66.44736842105263,23.19512556878391,4.606260200512939,71.7948717948718,59.37245472888668
11743,ZCTA5 11743,173014.0,63.73491246804517,4.0975239180495215,3.79746835443038,2397.0,748200.0,42423,42.56055363321799,58.55075428829857,63.73491246804517,88.07993042021958,78.78439167276912,48.421052631578945,25.43481925493254,61.78450687806015,57.43944636678201,58.536543413047355
11976,ZCTA5 11976,158000.0,77.18859429714857,4.0457703310175726,6.263345195729538,3200.0,2000001.0,2447,52.88461538461539,50.46732494158438,77.18859429714857,88.23048630976706,65.00808799741185,13.201754385964914,100.0,3.530834693401726,47.11538461538461,58.38040893308218
11746,ZCTA5 11746,158309.0,50.30501044273041,6.931742474713827,5.055022496882962,1907.0,664900.0,66883,43.728813559322035,50.63368831364611,50.30501044273041,79.83493098265069,71.75871729014148,69.9122807017544,20.47294467897029,97.42801352296573,56.271186440677965,58.26394382480335
11791,ZCTA5 11791,204357.0,70.61983221679039,3.5180684489421887,4.892051427185251,3091.0,918900.0,25194,48.45360824742268,75.42559950037149,70.61983221679039,89.76561905762273,72.66920029109727,17.982456140350877,35.60279032476154,36.67813010025647,51.546391752577314,57.88269301549755
11758,ZCTA5 11758,157404.0,49.503147993628154,3.6993626840524505,4.369157329443745,2153.0,624800.0,54741,31.466227347611202,50.1464428388375,49.503147993628154,89.23821764639287,75.5904929363308,59.12280701754386,18.084335189221353,79.73449522033108,68.5337726523888,57.38938959249367
11793,ZCTA5 11793,168519.0,49.4233409610984,3.285591246929727,4.159110143876195,2169.0,633600.0,31497,24.12280701754386,56.13067869795088,49.4233409610984,90.44191637256806,76.76397969206357,58.42105263157895,18.60851881789444,45.862963394730706,75.87719298245614,56.16762521377885
11768,ZCTA5 11768,163435.0,62.446445203352994,5.62810373367666,2.8623883835433532,2222.0,779700.0,21908,37.15596330275229,53.3934897543852,62.446445203352994,83.62733459294063,84.00847481590655,56.09649122807018,27.311158380296412,31.889717882956397,62.84403669724771,55.988944010136606
11968,ZCTA5 11968,146138.0,60.540638606676346,5.245807653719363,4.338624338624339,2068.0,1171100.0,14263,39.44020356234097,44.08090966845772,60.540638606676346,84.73946864372549,75.76107394289212,62.85087719298246,50.62541659196057,20.74930053625554,60.55979643765903,55.95714188883854
11710,ZCTA5 11710,173136.0,54.007054384381924,3.30486987439163,4.448651206814954,2495.0,647000.0,34459,37.91469194312796,58.6164382086595,54.007054384381924,90.3858330926789,75.14637838176108,44.12280701754386,19.406707525192086,50.17923758451853,62.08530805687204,54.92730834150544
11977,ZCTA5 11977,156406.0,56.945722171113154,1.1654135338345866,5.366269165247019,2031.0,1039300.0,2782,40.0,49.60912683457343,56.945722171113154,96.6097060833903,70.0198516057274,64.47368421052632,42.77457542615235,4.019002098391233,60.0,54.39209440630803
11731,ZCTA5 11731,158819.0,51.046005522534756,4.378019323671498,3.3009256564010014,2261.0,622100.0,29891,29.108485499462944,50.908268636466424,51.046005522534756,87.26394378568291,81.55846492787539,54.385964912280706,17.92350612133302,43.52267428304966,70.89151450053706,54.28933671481602
11725,ZCTA5 11725,168324.0,59.03405142460042,3.4976542258945456,4.234217051306504,2358.0,643000.0,29050,46.08433734939759,56.02569210393135,59.03405142460042,89.82500588830678,76.344374159643,50.13157894736842,19.16844223943159,42.29715551410585,53.915662650602414,54.18689018639371
11733,ZCTA5 11733,174931.0,62.90227711956978,4.587855676151364,5.210997442455243,2386.0,653100.0,17403,42.65658747300216,59.58285326642906,62.90227711956978,86.65351076028695,70.88732007355583,48.90350877192983,19.770062085976836,25.32495919794824,57.34341252699784,53.22869266718968
11753,ZCTA5 11753,185000.0,73.81176470588235,5.472204674668351,7.1183533447684395,2628.0,950100.0,12729,66.00985221674877,65.00393026736586,73.81176470588235,84.08085912823753,60.23134825567384,38.28947368421053,37.46125955369338,18.513930986243878,33.99014778325123,53.20231567617123
11721,ZCTA5 11721,206250.0,72.10898082744703,5.54380664652568,6.856856856856856,3220.0,704900.0,6620,32.6530612244898,76.44477705154571,72.10898082744703,83.87256248283438,61.69227078317987,12.32456140350877,22.85559753657521,9.61179762182327,67.3469387755102,53.01845527159813
11935,ZCTA5 11935,138024.0,55.3871364195002,5.306685044796692,0.9640102827763496,2176.0,885900.0,2946,29.629629629629626,39.71239057166546,55.3871364195002,84.56237077877327,94.61428965986104,58.114035087719294,33.637101717237485,4.257985544415948,70.37037037037037,52.48801897895773
